ID,Level,Unit,BookPage,PdfPage,Word,Reading,PartOfSpeech,MeaningZh,SentenceJa,SentenceZhReviewed,SentenceZhOriginal,TranslationStatus,TranslationNote,WordAudioX2,SentenceAudioX1,SentenceAudioX2,Tags
n3_0142,N3,2,146,155,計算,けいさん,名词；サ变他动词,计算；考虑；估计,運賃は距離で計算します。,车费按距离计算。,运费要按照距离计算。,corrected,「運賃」在此指交通车费，不是货物运费。,[sound:n3_0142_word_x2.mp3],[sound:n3_0142_sentence_x1.mp3],[sound:n3_0142_sentence_x2.mp3],n3 unit_2 book_page_146 translation_corrected
n3_0143,N3,2,147,156,系統,けいとう,名词,系统；体系；层次,彼の研究は系統を立てていません。,他的研究尚未形成系统。,他还没有形成系统的研究。,wording_refined,调整中文语序；原书日文表达较生硬，按原文保留。,[sound:n3_0143_word_x2.mp3],[sound:n3_0143_sentence_x1.mp3],[sound:n3_0143_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0144,N3,2,147,156,見解,けんかい,名词,见解；看法,わたしはあなたと見解が違います。,我的看法与你不同。,我和你的看法不一样。,wording_refined,改为更凝练的书面表达。,[sound:n3_0144_word_x2.mp3],[sound:n3_0144_sentence_x1.mp3],[sound:n3_0144_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0145,N3,2,147,156,幸運,こううん,名词；形容动词,幸运；好运,恩師に再会できた幸運を喜びます。,我很高兴有幸与恩师重逢。,很高兴有幸再见到恩师。,wording_refined,「再会」译为“重逢”更自然。,[sound:n3_0145_word_x2.mp3],[sound:n3_0145_sentence_x1.mp3],[sound:n3_0145_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0146,N3,2,147,156,交差点,こうさてん,名词,十字路口；交叉路口,道の交差点に立つのは危険です。,站在道路交叉口很危险。,站在十字路口非常危险。,unchanged,原译准确自然。,[sound:n3_0146_word_x2.mp3],[sound:n3_0146_sentence_x1.mp3],[sound:n3_0146_sentence_x2.mp3],n3 unit_2 book_page_147 translation_unchanged
n3_0147,N3,2,147,156,効果,こうか,名词,效果；功效,薬を飲むとすぐ効果が表れるとは言えません。,不能说吃了药就会立刻见效。,不能说一吃药就马上见效。,unchanged,原译准确自然。,[sound:n3_0147_word_x2.mp3],[sound:n3_0147_sentence_x1.mp3],[sound:n3_0147_sentence_x2.mp3],n3 unit_2 book_page_147 translation_unchanged
n3_0148,N3,2,147,156,硬貨,こうか,名词,硬币,硬貨は金属でできたものです。,硬币是由金属制成的。,硬币是金属做的。,wording_refined,改为更自然的书面中文。,[sound:n3_0148_word_x2.mp3],[sound:n3_0148_sentence_x1.mp3],[sound:n3_0148_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0149,N3,2,147,156,公開,こうかい,名词；サ变他动词,公开；开放,警察ではまだ犯人についての詳しい情報を公開していません。,警方尚未公开有关犯人的详细信息。,警察还没有公布犯人的详细信息。,wording_refined,调整为新闻语体中的自然表达。,[sound:n3_0149_word_x2.mp3],[sound:n3_0149_sentence_x1.mp3],[sound:n3_0149_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0150,N3,2,147,156,幸い,さいわい,名词；形容动词；副词,幸运；幸好；有利；有帮助,何が幸いになるかわかりません。,不知道什么事情会因祸得福。,或许会有幸运的事情发生。,corrected,「何が幸いになるか」强调不知道什么会成为幸运的契机，而不是泛指幸运事件发生。,[sound:n3_0150_word_x2.mp3],[sound:n3_0150_sentence_x1.mp3],[sound:n3_0150_sentence_x2.mp3],n3 unit_2 book_page_147 translation_corrected
n3_0151,N3,2,147,156,逆さ,さかさ,名词；形容动词,颠倒；倒置,裏表が逆さになります。,正反面会颠倒。,里外颠倒。,wording_refined,「裏表」在此译为“正反面”更明确。,[sound:n3_0151_word_x2.mp3],[sound:n3_0151_sentence_x1.mp3],[sound:n3_0151_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0152,N3,2,147,156,参加,さんか,名词；サ变自动词,参加；加入,労働者が企業管理に参加します。,劳动者参与企业管理。,劳动者参加企业管理。,unchanged,原译准确自然。,[sound:n3_0152_word_x2.mp3],[sound:n3_0152_sentence_x1.mp3],[sound:n3_0152_sentence_x2.mp3],n3 unit_2 book_page_147 translation_unchanged
n3_0153,N3,2,147,156,サンダル,サンダル,名词,凉鞋；拖鞋,サンダルを履いたままで部屋に入ってはいけない。,不可以穿着拖鞋进房间。,不可以穿着拖鞋进屋。,unchanged,原译准确自然。,[sound:n3_0153_word_x2.mp3],[sound:n3_0153_sentence_x1.mp3],[sound:n3_0153_sentence_x2.mp3],n3 unit_2 book_page_147 translation_unchanged
n3_0154,N3,2,147,156,姿勢,しせい,名词,姿势；态度；姿态,あの人は座る姿勢がよいです。,那个人的坐姿很好。,那个人坐姿优美。,wording_refined,「よい」译为中性的“很好”，避免过度引申为优美。,[sound:n3_0154_word_x2.mp3],[sound:n3_0154_sentence_x1.mp3],[sound:n3_0154_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0155,N3,2,147,156,従う,したがう,自动词（五段）,跟随；服从；按照；伴随；顺着,案内人に従って見学します。,跟随讲解员参观。,跟随导游参观学习。,corrected,「案内人」不一定是旅游导游；「見学」在此直接译为参观。,[sound:n3_0155_word_x2.mp3],[sound:n3_0155_sentence_x1.mp3],[sound:n3_0155_sentence_x2.mp3],n3 unit_2 book_page_147 translation_corrected
n3_0156,N3,2,147,156,集会,しゅうかい,名词；サ变自动词,集会；集合,学生は1時に集会を開きました。,学生们在1点举行了集会。,学生1点集合。,corrected,「集会を開く」是举行集会，不只是集合。,[sound:n3_0156_word_x2.mp3],[sound:n3_0156_sentence_x1.mp3],[sound:n3_0156_sentence_x2.mp3],n3 unit_2 book_page_147 translation_corrected
n3_0157,N3,2,147,156,首都,しゅと,名词,首都,首都とは、一国の中心となる都市のことを指す。,首都是指一个国家的中心城市。,首都是指一个国家的中心。,wording_refined,补出「都市」对应的“城市”。,[sound:n3_0157_word_x2.mp3],[sound:n3_0157_sentence_x1.mp3],[sound:n3_0157_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0158,N3,2,147,156,始発,しはつ,名词,始发；首班车,この列車は新宿始発です。,这趟列车从新宿始发。,这趟列车由新宿始发。,unchanged,原译准确自然。,[sound:n3_0158_word_x2.mp3],[sound:n3_0158_sentence_x1.mp3],[sound:n3_0158_sentence_x2.mp3],n3 unit_2 book_page_147 translation_unchanged
n3_0159,N3,2,147,156,洒落,しゃれ,名词,俏皮话；幽默；诙谐话,あの人の洒落には皆どっと笑いました。,那个人的俏皮话逗得大家哄堂大笑。,那个人说话幽默，把大家都逗乐了。,wording_refined,补出「どっと笑う」的“哄堂大笑”语气。,[sound:n3_0159_word_x2.mp3],[sound:n3_0159_sentence_x1.mp3],[sound:n3_0159_sentence_x2.mp3],n3 unit_2 book_page_147 translation_wording_refined
n3_0160,N3,2,147,156,出勤,しゅっきん,名词；サ变自动词,上班；出勤,毎日電車に乗って出勤します。,每天乘电车上班。,每天乘电车上班。,unchanged,原译准确自然。,[sound:n3_0160_word_x2.mp3],[sound:n3_0160_sentence_x1.mp3],[sound:n3_0160_sentence_x2.mp3],n3 unit_2 book_page_147 translation_unchanged
n3_0161,N3,2,148,157,スチュワーデス,スチュワーデス,名词,空姐；女乘务员,スチュワーデスを目指している方へ講座を開いています。,我们为立志成为空姐的人开设讲座。,为梦想成为空姐的人开办讲座。,wording_refined,补出原句省略的主语，并将「目指す」译为“立志成为”。,[sound:n3_0161_word_x2.mp3],[sound:n3_0161_sentence_x1.mp3],[sound:n3_0161_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
n3_0162,N3,2,148,157,すっきり,すっきり,副词；サ变自动词,舒畅；清爽；整洁；明快,頭がすっきりする。,头脑变得清醒了。,头脑清醒了。,unchanged,原译准确自然。,[sound:n3_0162_word_x2.mp3],[sound:n3_0162_sentence_x1.mp3],[sound:n3_0162_sentence_x2.mp3],n3 unit_2 book_page_148 translation_unchanged
n3_0163,N3,2,148,157,整理,せいり,名词；サ变他动词,整理；整顿；裁减；缩减,経済が不景気のため、多くの会社が人員を整理し始めた。,由于经济不景气，许多公司开始裁员。,因为经济不景气，很多公司都开始裁减职员。,wording_refined,「人員を整理する」在此是裁员，译文简化为常用表达。,[sound:n3_0163_word_x2.mp3],[sound:n3_0163_sentence_x1.mp3],[sound:n3_0163_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
n3_0164,N3,2,148,157,ゼミ・ゼミナール,ゼミ・ゼミナール,名词,（大学的）研究班；讨论会,日本史のゼミナールを取る。,选修日本史研讨课。,选听日本史的研究讨论课。,wording_refined,「ゼミナールを取る」译为“选修研讨课”更自然。,[sound:n3_0164_word_x2.mp3],[sound:n3_0164_sentence_x1.mp3],[sound:n3_0164_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
n3_0165,N3,2,148,157,セミナー,セミナー,名词,研讨课程；研讨会；演习,英国史のセミナーを開く。,开设英国史研讨课。,开设英国史的研讨课。,unchanged,原译准确自然。,[sound:n3_0165_word_x2.mp3],[sound:n3_0165_sentence_x1.mp3],[sound:n3_0165_sentence_x2.mp3],n3 unit_2 book_page_148 translation_unchanged
n3_0166,N3,2,148,157,せめて,せめて,副词,至少；哪怕……也好,せめてお茶だけでも召し上がってください。,至少请喝杯茶吧。,哪怕喝杯茶也好啊。,wording_refined,译成中文中更自然的劝请表达。,[sound:n3_0166_word_x2.mp3],[sound:n3_0166_sentence_x1.mp3],[sound:n3_0166_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
n3_0167,N3,2,148,157,相違,そうい,名词；サ变自动词,不同；差异；不一致,この記事は事実と相違する。,这篇报道与事实不符。,这个报道与事实相悖。,wording_refined,「相違する」译为“与……不符”更常用。,[sound:n3_0167_word_x2.mp3],[sound:n3_0167_sentence_x1.mp3],[sound:n3_0167_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
n3_0168,N3,2,148,157,体温,たいおん,名词,体温,定温動物は、その体温をほぼ一定に調節している。,恒温动物会把体温调节在大致恒定的范围内。,恒温动物可以始终调节体温恒定。,corrected,原译搭配生硬；补出「ほぼ」并明确调节结果。,[sound:n3_0168_word_x2.mp3],[sound:n3_0168_sentence_x1.mp3],[sound:n3_0168_sentence_x2.mp3],n3 unit_2 book_page_148 translation_corrected
n3_0169,N3,2,148,157,大会,たいかい,名词,大会；大型运动会,比較文学会関西支部の大会は今度近畿大学で行う予定です。,比较文学会关西支部的大会计划下次在近畿大学举行。,预计在近畿大学举行比较文学会关西支部的大会。,wording_refined,补出「今度」并调整中文语序。,[sound:n3_0169_word_x2.mp3],[sound:n3_0169_sentence_x1.mp3],[sound:n3_0169_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
n3_0170,N3,2,148,157,体操,たいそう,名词,体操；运动,わたしは毎朝ラジオ体操をする。,我每天早晨做广播体操。,我每天早晨做广播体操。,unchanged,原译准确自然。,[sound:n3_0170_word_x2.mp3],[sound:n3_0170_sentence_x1.mp3],[sound:n3_0170_sentence_x2.mp3],n3 unit_2 book_page_148 translation_unchanged
n3_0171,N3,2,148,157,たっぷり,たっぷり,副词,充分；足够；多；宽裕,書く前に、筆にすみをたっぷりつける。,写字前，要让毛笔蘸足墨汁。,写之前，将毛笔蘸足墨汁。,wording_refined,补出动作目的，使中文更自然。,[sound:n3_0171_word_x2.mp3],[sound:n3_0171_sentence_x1.mp3],[sound:n3_0171_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
n3_0172,N3,2,148,157,ダム,ダム,名词,水坝；水库,川をダムで堰き止める。,用水坝拦住河水。,建造水库蓄水。,corrected,原句描述用水坝拦截河流，并未直接表达“建造”。,[sound:n3_0172_word_x2.mp3],[sound:n3_0172_sentence_x1.mp3],[sound:n3_0172_sentence_x2.mp3],n3 unit_2 book_page_148 translation_corrected
n3_0173,N3,2,148,157,たり,たり,助动词,或……或……；时而……时而……,来たり来なかったりして、決まりがない。,时而来，时而不来，没有规律。,时而来，时而不来，没有规律可循。,unchanged,原译准确自然。,[sound:n3_0173_word_x2.mp3],[sound:n3_0173_sentence_x1.mp3],[sound:n3_0173_sentence_x2.mp3],n3 unit_2 book_page_148 translation_unchanged
n3_0174,N3,2,148,157,単純,たんじゅん,名词；形容动词,单纯；简单,物を単純に考えてください。,请把事情想得简单一些。,请把问题考虑得简单些。,wording_refined,「物」在此泛指事情，不限定为问题。,[sound:n3_0174_word_x2.mp3],[sound:n3_0174_sentence_x1.mp3],[sound:n3_0174_sentence_x2.mp3],n3 unit_2 book_page_148 translation_wording_refined
