id,source_number,level,unit,book_page,pdf_page,word,reading,part_of_speech,meaning_zh_original,meaning_zh_reviewed,sentence_ja_original,sentence_ja,sentence_zh_original,sentence_zh_reviewed,translation_status,correction_category,translation_note,has_original_sentence
n3_0022,0022,N3,1,2,4,革靴,かわぐつ,名,皮鞋,皮鞋,彼の革靴はいつもぴかぴかしています。,彼の革靴はいつもぴかぴかしています。,他的皮鞋总是擦得锃亮。,他的皮鞋总是擦得锃亮。,original_book,,使用原书例句与原书中文译文。,True
n3_0023,0023,N3,1,2,4,記憶,きおく,名·他サ,记忆；记忆力，记性,记忆；记忆力，记性,当時の事はよく記憶しています。,当時の事はよく記憶しています。,清楚地记得当时的情况。,清楚地记得当时的情况。,original_book,,使用原书例句与原书中文译文。,True
n3_0024,0024,N3,1,2,4,警備,けいび,名·他サ,警备，警戒；戒备,警备，警戒；戒备,建物の周囲を厳しく警備します。,建物の周囲を厳しく警備します。,在建筑物的周围布置严密的警戒。,严密警戒建筑物周围。,wording_refined,措辞优化,原译搭配生硬；原句表示执行警戒动作。,True
n3_0025,0025,N3,1,2,4,劇場,げきじょう,名,剧场，剧院，戏院,剧场，剧院，戏院,劇場で「ロミオとジュリエット」をやっています。,劇場で「ロミオとジュリエット」をやっています。,剧场正在上演《罗密欧与朱丽叶》。,剧场正在上演《罗密欧与朱丽叶》。,original_book,,使用原书例句与原书中文译文。,True
n3_0026,0026,N3,1,2,4,講座,こうざ,名,讲座,讲座,あの先生は歴史の講座を担当するそうです。,あの先生は歴史の講座を担当するそうです。,听说那个老师负责历史讲座。,听说那个老师负责历史讲座。,original_book,,使用原书例句与原书中文译文。,True
n3_0027,0027,N3,1,2,4,香水,こうすい,名,香水,香水,このハンカチは香水の匂いがします。,このハンカチは香水の匂いがします。,这个手帕有香水的味道。,这个手帕有香水的味道。,original_book,,使用原书例句与原书中文译文。,True
n3_0028,0028,N3,1,2,4,越える,こえる,自一,越过，超过,越过，超过,山を越えると、美しい景色が広がっていた。,山を越えると、美しい景色が広がっていた。,翻过大山，眼前出现了一片美景。,翻过大山，眼前出现了一片美景。,original_book,,使用原书例句与原书中文译文。,True
n3_0029,0029,N3,1,2,4,黒板,こくばん,名,黑板,黑板,先生が黒板に重要な式を書いているので、ノートにメモした。,先生が黒板に重要な式を書いているので、ノートにメモした。,老师正把重要公式写在黑板上，于是我在笔记本上做了笔记。,老师正把重要公式写在黑板上，于是我在笔记本上做了笔记。,original_book,,使用原书例句与原书中文译文。,True
n3_0030,0030,N3,1,2,4,個人的,こじんてき,形动,个人的，私人的,个人的，私人的,個人的な意見では、この計画はもっと効果的になると思う。,個人的な意見では、この計画はもっと効果的になると思う。,我个人认为，这个计划将更加有效。,我个人认为，这个计划将更加有效。,original_book,,使用原书例句与原书中文译文。,True
n3_0031,0031,N3,1,2,4,個数,こすう,名,件数，个数,件数，个数,テストの問題の個数が多すぎて、時間内に解き終われなかった。,テストの問題の個数が多すぎて、時間内に解き終われなかった。,考试题目的数量太多了，没能在规定时间内完成。,考试题目的数量太多了，没能在规定时间内完成。,original_book,,使用原书例句与原书中文译文。,True
n3_0032,0032,N3,1,2,4,ゴム,ゴム,名,橡胶,橡胶,ゴムの木の汁から作りました。,ゴムの木の汁から作りました。,用橡胶树的树汁制作的。,用橡胶树的树汁制作的。,original_book,,使用原书例句与原书中文译文。,True
n3_0033,0033,N3,1,2,4,採点,さいてん,名·他サ,评分数；记分,评分；打分；阅卷,100点満点で答案を採点します。,100点満点で答案を採点します。,按照满分100分评分。,按满分100分给答卷评分。,meaning_corrected,词义及例句修正,「採点」不是“评分数”；例句还应补出评分对象「答案」。,True
n3_0034,0034,N3,1,2,4,酒場,さかば,名,酒馆；酒家,酒馆；酒家,酒場を経営します。,酒場を経営します。,经营酒馆。,经营酒馆。,original_book,,使用原书例句与原书中文译文。,True
n3_0035,0035,N3,1,3,5,時期,じき,名,时期；时候,时期；时候,時期が来れば分かります。,時期が来れば分かります。,到时候就明白了。,到时候就明白了。,original_book,,使用原书例句与原书中文译文。,True
n3_0036,0036,N3,1,3,5,事件,じけん,名,事件；案件,事件；案件,奇妙な事件が起こります。,奇妙な事件が起こります。,发生奇怪的事件。,发生奇怪的事件。,original_book,,使用原书例句与原书中文译文。,True
n3_0037,0037,N3,1,3,5,自身,じしん,名,自己；本人；本身,自己；本人；本身,それは君自身で決めなければいけません。,それは君自身で決めなければいけません。,那件事必须由你自己决定。,那件事必须由你自己决定。,original_book,,使用原书例句与原书中文译文。,True
n3_0038,0038,N3,1,3,5,静まる,しずまる,自五,静下来；平定；平息,静下来；平定；平息,パーティーが終わって部屋は静まりました。,パーティーが終わって部屋は静まりました。,聚会结束，房间里安静了下来。,聚会结束，房间里安静了下来。,original_book,,使用原书例句与原书中文译文。,True
n3_0039,0039,N3,1,3,5,子孫,しそん,名,子孙；后代,子孙；后代,子孫の繁栄を願います。,子孫の繁栄を願います。,愿子孙兴旺。,愿子孙兴旺。,original_book,,使用原书例句与原书中文译文。,True
n3_0040,0040,N3,1,3,5,次第,しだい,名·副,次序；顺序；情况；缘由,次序；顺序；情况；缘由,式の次第を掲示します。,式の次第を掲示します。,揭晓仪式的顺序。,公布仪式的流程。,corrected,实质误译,「掲示」是公布、张贴，不是“揭晓”；「次第」在此指流程。,True
n3_0041,0041,N3,1,3,5,下書き,したがき,名·他サ,草稿；底稿,草稿；底稿,下書きに手を入れます。,下書きに手を入れます。,修改底稿。,修改底稿。,original_book,,使用原书例句与原书中文译文。,True
n3_0042,0042,N3,1,3,5,省,しょう,名·接尾,省,省,わたしは遼寧省の出身です。,わたしは遼寧省の出身です。,我出生于辽宁省。,我来自辽宁省。,corrected,实质误译,「出身」表示籍贯或出身地，不等于出生于。,True
n3_0043,0043,N3,1,3,5,章,しょう,名·接尾,章，章节；徽章,章，章节；徽章,章を改めて述べます。,章を改めて述べます。,另起一章论述。,另起一章论述。,original_book,,使用原书例句与原书中文译文。,True
n3_0044,0044,N3,1,3,5,賞,しょう,名·接尾,奖，奖赏；奖品；奖金,奖，奖赏；奖品；奖金,この小説で2024年度の芥川賞を受けました。,この小説で2024年度の芥川賞を受けました。,凭借这部小说获得了2024年度芥川龙之介奖。,凭借这部小说获得了2024年度芥川龙之介奖。,original_book,,使用原书例句与原书中文译文。,True
n3_0045,0045,N3,1,3,5,スター,スター,名,星星；明星,星星；明星,彼女はスターの座についた。,彼女はスターの座についた。,她成了明星。,她成了明星。,original_book,,使用原书例句与原书中文译文。,True
n3_0046,0046,N3,1,3,5,スタート,スタート,名·自サ,开始，出发，起动，开端,开始，出发，起动，开端,彼は教師として人生のスタートを切った。,彼は教師として人生のスタートを切った。,他成为教师，开始了新的人生。,他以教师的身份开启了人生的新阶段。,wording_refined,措辞优化,补出「として」的身份关系。,True
n3_0047,0047,N3,1,3,5,生活費,せいかつひ,名,生活费,生活费,大学生になってから、自分の生活費を管理するようになった。,大学生になってから、自分の生活費を管理するようになった。,上了大学后，我开始管理自己的生活开支。,上了大学后，我开始管理自己的生活开支。,original_book,,使用原书例句与原书中文译文。,True
n3_0048,0048,N3,1,3,5,世紀,せいき,名,世纪，时代,世纪，时代,幾世紀にも渡った。,幾世紀にも渡った。,过了几个世纪。,延续了好几个世纪。,corrected,实质误译,「幾世紀にも渡った」表示横跨、延续多个世纪，不是“过了几个世纪”。,True
n3_0049,0049,N3,1,3,5,請求,せいきゅう,名·他サ,要求，索取,要求，索取,代金を請求する。,代金を請求する。,请求付款。,请求付款。,original_book,,使用原书例句与原书中文译文。,True
n3_0050,0050,N3,1,3,5,精算,せいさん,名·他サ,精算；清账,精算；清账,レストランで食事の後、精算を済ませた。,レストランで食事の後、精算を済ませた。,在餐厅吃完饭后结账了。,在餐厅吃完饭后结账了。,original_book,,使用原书例句与原书中文译文。,True
n3_0051,0051,N3,1,3,5,清書,せいしょ,名·他サ,誊写,誊写,レポートの下書きを終えたので、今度は清書に取り掛かる。,レポートの下書きを終えたので、今度は清書に取り掛かる。,写完报告草稿，现在要誊写了。,写完报告草稿，现在要誊写了。,original_book,,使用原书例句与原书中文译文。,True
n3_0052,0052,N3,1,3,5,ソフトウエア,ソフトウエア,名,软件，程序,软件，程序,このソフトウエアは今年バージョンアップされる。,このソフトウエアは今年バージョンアップされる。,这个软件将在今年升级。,这个软件将在今年升级。,original_book,,使用原书例句与原书中文译文。,True
n3_0053,0053,N3,1,4,6,それとも,それとも,接续,还是，或者,还是，或者,今日にするかそれとも明日にするか、わたしはどちらでもよい。,今日にするかそれとも明日にするか、わたしはどちらでもよい。,无论是今天还是明天，我都可以。,今天做还是明天做，我都可以。,wording_refined,措辞优化,「それとも」连接选择项；原译的“无论”弱化了选择问句结构。,True
n3_0054,0054,N3,1,4,6,代金,だいきん,名,货款，价款,货款，价款,代金を受け取る。,代金を受け取る。,收取货款。,收取货款。,original_book,,使用原书例句与原书中文译文。,True
n3_0055,0055,N3,1,4,6,対照,たいしょう,名·他サ,对比；比较,对比；比较,白雪をいただいた富士山が青空と美しい対 照をなしている。,白雪をいただいた富士山が青空と美しい対照をなしている。,山顶覆盖着白雪的富士山与蓝天相映衬，很美。,山顶覆盖白雪的富士山与蓝天形成了美丽的对比。,corrected,实质误译,「対照をなす」是形成对比；「美しい」修饰对比效果。,True
n3_0056,0056,N3,1,4,6,大小,だいしょう,名,大的和小的,大的和小的,皿を大小取り混ぜて5枚1000円で売っている。,皿を大小取り混ぜて5枚1000円で売っている。,大小盘子混着卖，1000日元5个。,大小盘子混着卖，1000日元5个。,original_book,,使用原书例句与原书中文译文。,True
n3_0057,0057,N3,1,4,6,竹,たけ,名,竹，竹子,竹，竹子,庭に竹が生えている。,庭に竹が生えている。,院子里长着竹子。,院子里长着竹子。,original_book,,使用原书例句与原书中文译文。,True
n3_0058,0058,N3,1,4,6,茶色い,ちゃいろい,形,茶色的,茶色的,十年ぐらい前に髪の毛を茶色く染めたのが流行っていた。,十年ぐらい前に髪の毛を茶色く染めたのが流行っていた。,十年前流行把头发染成茶色。,十年前流行把头发染成茶色。,original_book,,使用原书例句与原书中文译文。,True
n3_0059,0059,N3,1,4,6,着ける,つける,他一,佩戴，戴上，系上；抵达，到达,佩戴，戴上，系上；抵达，到达,寒いので、厚めの下着を着けることにした。,寒いので、厚めの下着を着けることにした。,因为天冷，所以决定穿厚一点儿的内衣。,因为天冷，所以决定穿厚一点儿的内衣。,original_book,,使用原书例句与原书中文译文。,True
n3_0060,0060,N3,1,4,6,手洗い,てあらい,名,卫生间,洗手；洗手间（お手洗い）,お手洗いに行きたいが、どこにあるか知っているか。,お手洗いに行きたいが、どこにあるか知っているか。,我想去洗手间，你知道在哪里吗？,我想去洗手间，你知道在哪里吗？,meaning_corrected,词义修正,「手洗い」本义含洗手；礼貌形式「お手洗い」才常指洗手间。,True
n3_0061,0061,N3,1,4,6,鉄,てつ,名,铁,铁,彼は鉄のような意志を持っている。,彼は鉄のような意志を持っている。,他有铁一般的意志。,他有钢铁般坚定的意志。,wording_refined,措辞优化,改为更自然的中文固定搭配。,True
n3_0062,0062,N3,1,4,6,哲学,てつがく,名,哲学,哲学,大学二年から哲学に興味を持ち始めた。,大学二年から哲学に興味を持ち始めた。,从大二开始对哲学产生了兴趣。,从大二开始对哲学产生了兴趣。,original_book,,使用原书例句与原书中文译文。,True
n3_0063,0063,N3,1,4,6,鉄道,てつどう,名,铁路,铁路,午後鉄道博物館へ行った。,午後鉄道博物館へ行った。,下午我去了铁道博物馆。,下午我去了铁道博物馆。,original_book,,使用原书例句与原书中文译文。,True
n3_0064,0064,N3,1,4,6,統計,とうけい,名·他サ,统计,统计,これは信頼すべき資料による統計です。,これは信頼すべき資料による統計です。,这是依据可靠资料做的统计。,这是依据可靠资料做的统计。,original_book,,使用原书例句与原书中文译文。,True
n3_0065,0065,N3,1,4,6,同日,どうじつ,名,当天；同一天,当天；同一天,同日午後から討論会がある。,同日午後から討論会がある。,从当天下午起召开讨论会。,当天下午有一场讨论会。,corrected,实质误译,「ある」表示有、存在，原句没有“从……起召开”的起始含义。,True
n3_0066,0066,N3,1,4,6,登山,とざん,名·自サ,登山,登山,家族連れで登山する。,家族連れで登山する。,和家人一起登山。,和家人一起登山。,original_book,,使用原书例句与原书中文译文。,True
n3_0067,0067,N3,1,4,6,都市,とし,名,都市,都市,多くの人が都市で生活している。,多くの人が都市で生活している。,很多人生活在城市里。,很多人生活在城市里。,original_book,,使用原书例句与原书中文译文。,True
n3_0068,0068,N3,1,4,6,トップ,トップ,名,最初，最上面；报纸的头条,顶端；首位；最高水平；头条,この国の医学は世界でもトップのレベルにある。,この国の医学は世界でもトップのレベルにある。,这个国家的医学水平在世界上都名列前茅。,这个国家的医学水平在世界上都名列前茅。,meaning_corrected,词义修正,原释义缺少例句所用的“最高水平、名列前茅”义项。,True
n3_0069,0069,N3,1,4,6,留まる,とどまる,自五,停止，停下；停留，逗留；限于,停止，停下；停留，逗留；限于,彼はどこにも留まることのできない放浪者だった。,彼はどこにも留まることのできない放浪者だった。,他曾是无处可留的流浪汉。,他曾是无处可留的流浪汉。,original_book,,使用原书例句与原书中文译文。,True
n3_0070,0070,N3,1,4,6,内容,ないよう,名,内容,内容,事件の内容が分からない。,事件の内容が分からない。,不清楚事件的内容。,不清楚事件的内容。,original_book,,使用原书例句与原书中文译文。,True
n3_0071,0071,N3,1,5,7,願い,ねがい,名,愿望，意愿，心愿；请求,愿望，意愿，心愿；请求,願いが叶う。,願いが叶う。,愿望实现。,愿望实现。,original_book,,使用原书例句与原书中文译文。,True
n3_0072,0072,N3,1,5,7,寝不足,ねぶそく,名·形动,睡眠不足,睡眠不足,試験勉強で寝不足になった。,試験勉強で寝不足になった。,因为准备考试，睡眠不足了。,因为准备考试，睡眠不足了。,original_book,,使用原书例句与原书中文译文。,True
n3_0073,0073,N3,1,5,7,農家,のうか,名,农户，农民；农家,农户，农民；农家,農家は秋に忙しい。,農家は秋に忙しい。,农民秋天很忙。,农民秋天很忙。,original_book,,使用原书例句与原书中文译文。,True
n3_0074,0074,N3,1,5,7,拝見,はいけん,名·他サ,拜读；瞻仰，看,拜读；瞻仰，看,お手紙拝見しました。,お手紙拝見しました。,我拜读了您的来信。,我拜读了您的来信。,original_book,,使用原书例句与原书中文译文。,True
n3_0075,0075,N3,1,5,7,甚だしい,はなはだしい,形,很，甚，非常,严重的；过分的；厉害的,それは甚だしい法律無視だ。,それは甚だしい法律無視だ。,那就是无视法律的行为。,那是严重无视法律的行为。,meaning_corrected,词义及例句修正,「甚だしい」是形容词并表达严重程度，原释义词性不对，原译也漏译。,True
n3_0076,0076,N3,1,5,7,場面,ばめん,名,场面，情景，场景,场面，情景，场景,苦しい場面に直面する。,苦しい場面に直面する。,直面艰苦的局面。,面临艰难的局面。,wording_refined,措辞优化,此处「場面」是处境、局面；“艰苦的局面”搭配生硬。,True
n3_0077,0077,N3,1,5,7,日当たり,ひあたり,名,光照；向阳处,光照；向阳处,この部屋は日当たりがいい。,この部屋は日当たりがいい。,这个房间采光好。,这个房间采光好。,original_book,,使用原书例句与原书中文译文。,True
n3_0078,0078,N3,1,5,7,引き受ける,ひきうける,他一,承担，负责,承担，负责,議長の役を引き受ける。,議長の役を引き受ける。,担任主席职务。,担任主席职务。,original_book,,使用原书例句与原书中文译文。,True
n3_0079,0079,N3,1,5,7,深まる,ふかまる,自五,加深，变深,加深，变深,それに対する興味は深まるばかりだった。,それに対する興味は深まるばかりだった。,对那个的兴趣越来越浓了。,对它的兴趣越来越浓厚。,wording_refined,措辞优化,中文通常说兴趣越来越浓厚。,True
n3_0080,0080,N3,1,5,7,プラスチック,プラスチック・プラスティック,名,塑料，塑胶,塑料，塑胶,子供にプラスチックの玩具を買ってあげた。,子供にプラスチックの玩具を買ってあげた。,给孩子买了塑料玩具。,给孩子买了塑料玩具。,original_book,,使用原书例句与原书中文译文。,True
n3_0081,0081,N3,1,5,7,ブレーキ,ブレーキ,名,刹车装置；阻止,刹车装置；阻止,彼の専横にブレーキをかけなければならない。,彼の専横にブレーキをかけなければならない。,必须让他停止专横的行为。,必须制止他的专横行为。,corrected,实质误译,「彼の専横」是被制止的对象，原译容易把“他”误作停止动作的主体。,True
n3_0082,0082,N3,1,5,7,閉会,へいかい,名·自他サ,闭会,闭会,オリンピックが無事閉会する。,オリンピックが無事閉会する。,奥运会顺利闭幕。,奥运会顺利闭幕。,original_book,,使用原书例句与原书中文译文。,True
n3_0083,0083,N3,1,5,7,坊さん,ぼうさん,名,和尚,和尚,お坊さんがお経をあげる。,お坊さんがお経をあげる。,和尚念经。,和尚念经。,original_book,,使用原书例句与原书中文译文。,True
n3_0084,0084,N3,1,5,7,ぼんやり,ぼんやり,名·副·自サ,模糊，不清楚；发呆，精神恍惚；马虎，不注意，心不在焉,模糊，不清楚；发呆，精神恍惚；马虎，不注意，心不在焉,寝不足で今朝は頭がぼんやりしている。,寝不足で今朝は頭がぼんやりしている。,因为睡眠不足，一早上都迷迷糊糊的。,因为睡眠不足，今天早上脑子昏昏沉沉的。,wording_refined,措辞优化,补出「頭がぼんやり」的具体状态。,True
n3_0085,0085,N3,1,5,7,蒸す,むす,他五,（自五）蒸；闷热,蒸；闷热,健康的な食事のために、野菜を蒸して食べることにした。,健康的な食事のために、野菜を蒸して食べることにした。,出于健康饮食的考虑，我决定蒸蔬菜吃。,出于健康饮食的考虑，我决定蒸蔬菜吃。,meaning_corrected,词义修正,词性栏已标为他动词，原释义中的“（自五）”与之矛盾。,True
n3_0086,0086,N3,1,5,7,無責任,むせきにん,名·形动,不负责任；没有责任,不负责任；没有责任,約束を守らないのは無責任な行動だ。,約束を守らないのは無責任な行動だ。,不遵守承诺是不负责任的行为。,不遵守承诺是不负责任的行为。,original_book,,使用原书例句与原书中文译文。,True
n3_0087,0087,N3,1,5,7,無断,むだん,名,擅自,擅自,無断で人の物を使うのは良くない。,無断で人の物を使うのは良くない。,擅自使用别人的东西是不好的。,擅自使用别人的东西是不好的。,original_book,,使用原书例句与原书中文译文。,True
n3_0088,0088,N3,1,5,7,むちゃくちゃ,むちゃくちゃ,名·形动,乱七八糟；胡来；过分,乱七八糟；胡来；过分,むちゃくちゃに散らかっている。,むちゃくちゃに散らかっている。,四处散落，乱七八糟。,四处散落，乱七八糟。,original_book,,使用原书例句与原书中文译文。,True
n3_0089,0089,N3,1,5,7,胸,むね,名,胸，胸部；心，心脏；乳房；心里，内心，心胸,胸，胸部；心，心脏；乳房；心里，内心，心胸,胸がドキドキするような映画を見た。,胸がドキドキするような映画を見た。,看了一部让人心跳加速的电影。,看了一部让人心跳加速的电影。,original_book,,使用原书例句与原书中文译文。,True
n3_0090,0090,N3,1,5,7,芽,め,名,芽,芽,撒いた種からまだ芽が出てこない。,撒いた種からまだ芽が出てこない。,播下的种子还没有发芽。,播下的种子还没有发芽。,original_book,,使用原书例句与原书中文译文。,True
n3_0091,0091,N3,1,6,8,儲かる,もうかる,自五,赚钱，赚；得便宜，捡便宜,赚钱，赚；得便宜，捡便宜,この商売は儲かる。,この商売は儲かる。,这个买卖很赚钱。,这个买卖很赚钱。,original_book,,使用原书例句与原书中文译文。,True
n3_0092,0092,N3,1,6,8,毛布,もうふ,名,毛毯，毯子,毛毯，毯子,毛布に包まる。,毛布に包まる。,用毛毯包裹。,裹在毛毯里。,corrected,实质误译,「包まる」表示自身裹在其中，原译像是在包裹别的东西。,True
n3_0093,0093,N3,1,6,8,目標,もくひょう,名,目标，指标,目标，指标,人生の目標を決める。,人生の目標を決める。,决定人生目标。,决定人生目标。,original_book,,使用原书例句与原书中文译文。,True
n3_0094,0094,N3,1,6,8,夜,や,名,夜，夜间,夜，夜间,それは一夜も続いた火事だった。,それは一夜も続いた火事だった。,那场火持续了一夜。,那场火持续了一夜。,original_book,,使用原书例句与原书中文译文。,True
n3_0095,0095,N3,1,6,8,やがて,やがて,副,不久，马上，大约，将近,不久，马上，大约，将近,日は沈み、やがて月が出てきた。,日は沈み、やがて月が出てきた。,太阳落下，不久月亮就出来了。,太阳落下，不久月亮就出来了。,original_book,,使用原书例句与原书中文译文。,True
n3_0096,0096,N3,1,6,8,唯一,ゆいいつ,名,唯一，独一无二,唯一，独一无二,この古代の皿は世界で唯一のものである。,この古代の皿は世界で唯一のものである。,这是全世界独一无二的古董盘子。,这只古代的盘子是世界上独一无二的。,corrected,实质误译,「古代の皿」是古代的盘子，原译擅自强化为“古董盘子”。,True
n3_0097,0097,N3,1,6,8,有効,ゆうこう,名·形动,有效,有效,この法規は交通事故を無くすのに有効だろう。,この法規は交通事故を無くすのに有効だろう。,这部法规能有效地消除交通事故吧。,这项法规大概有助于杜绝交通事故。,wording_refined,措辞优化,补出「だろう」的不确定语气，并使中文搭配自然。,True
n3_0098,0098,N3,1,6,8,夜,よ,名,夜，夜间，夜里,夜，夜间，夜里,彼なしでは夜も日も明けない。,彼なしでは夜も日も明けない。,我片刻都不能没有他。,我片刻都不能没有他。,original_book,,使用原书例句与原书中文译文。,True
n3_0099,0099,N3,1,6,8,夜明け,よあけ,名,天亮的时候，拂晓，天明，黎明,天亮的时候，拂晓，天明，黎明,彼は夜明けに帰宅した。,彼は夜明けに帰宅した。,天亮的时候，他回家了。,天亮的时候，他回家了。,original_book,,使用原书例句与原书中文译文。,True
