id,unit,book_page,word,reading,part_of_speech,category,severity,meaning_zh_original,meaning_zh_reviewed,sentence_ja_original,sentence_ja_reviewed,sentence_zh_original,sentence_zh_reviewed,reason,source
n3_0060,1,4,手洗い,てあらい,名,词义修正,中,卫生间,洗手；洗手间（お手洗い）,お手洗いに行きたいが、どこにあるか知っているか。,お手洗いに行きたいが、どこにあるか知っているか。,我想去洗手间，你知道在哪里吗？,我想去洗手间，你知道在哪里吗？,「手洗い」本义含洗手；礼貌形式「お手洗い」才常指洗手间。,全量词义复核
n3_0061,1,4,鉄,てつ,名,措辞优化,低,铁,铁,彼は鉄のような意志を持っている。,彼は鉄のような意志を持っている。,他有铁一般的意志。,他有钢铁般坚定的意志。,改为更自然的中文固定搭配。,旧版人工校对
n3_0065,1,4,同日,どうじつ,名,实质误译,中,当天；同一天,当天；同一天,同日午後から討論会がある。,同日午後から討論会がある。,从当天下午起召开讨论会。,当天下午有一场讨论会。,「ある」表示有、存在，原句没有“从……起召开”的起始含义。,旧版人工校对
n3_0068,1,4,トップ,トップ,名,词义修正,中,最初，最上面；报纸的头条,顶端；首位；最高水平；头条,この国の医学は世界でもトップのレベルにある。,この国の医学は世界でもトップのレベルにある。,这个国家的医学水平在世界上都名列前茅。,这个国家的医学水平在世界上都名列前茅。,原释义缺少例句所用的“最高水平、名列前茅”义项。,全量词义复核
n3_0075,1,5,甚だしい,はなはだしい,形,词义及例句修正,高,很，甚，非常,严重的；过分的；厉害的,それは甚だしい法律無視だ。,それは甚だしい法律無視だ。,那就是无视法律的行为。,那是严重无视法律的行为。,「甚だしい」是形容词并表达严重程度，原释义词性不对，原译也漏译。,旧版人工校对
n3_0076,1,5,場面,ばめん,名,措辞优化,低,场面，情景，场景,场面，情景，场景,苦しい場面に直面する。,苦しい場面に直面する。,直面艰苦的局面。,面临艰难的局面。,此处「場面」是处境、局面；“艰苦的局面”搭配生硬。,旧版人工校对
n3_0079,1,5,深まる,ふかまる,自五,措辞优化,低,加深，变深,加深，变深,それに対する興味は深まるばかりだった。,それに対する興味は深まるばかりだった。,对那个的兴趣越来越浓了。,对它的兴趣越来越浓厚。,中文通常说兴趣越来越浓厚。,旧版人工校对
n3_0081,1,5,ブレーキ,ブレーキ,名,实质误译,高,刹车装置；阻止,刹车装置；阻止,彼の専横にブレーキをかけなければならない。,彼の専横にブレーキをかけなければならない。,必须让他停止专横的行为。,必须制止他的专横行为。,「彼の専横」是被制止的对象，原译容易把“他”误作停止动作的主体。,旧版人工校对
n3_0084,1,5,ぼんやり,ぼんやり,名·副·自サ,措辞优化,低,模糊，不清楚；发呆，精神恍惚；马虎，不注意，心不在焉,模糊，不清楚；发呆，精神恍惚；马虎，不注意，心不在焉,寝不足で今朝は頭がぼんやりしている。,寝不足で今朝は頭がぼんやりしている。,因为睡眠不足，一早上都迷迷糊糊的。,因为睡眠不足，今天早上脑子昏昏沉沉的。,补出「頭がぼんやり」的具体状态。,旧版人工校对
n3_0085,1,5,蒸す,むす,他五,词义修正,高,（自五）蒸；闷热,蒸；闷热,健康的な食事のために、野菜を蒸して食べることにした。,健康的な食事のために、野菜を蒸して食べることにした。,出于健康饮食的考虑，我决定蒸蔬菜吃。,出于健康饮食的考虑，我决定蒸蔬菜吃。,词性栏已标为他动词，原释义中的“（自五）”与之矛盾。,全量词义复核
n3_0092,1,6,毛布,もうふ,名,实质误译,中,毛毯，毯子,毛毯，毯子,毛布に包まる。,毛布に包まる。,用毛毯包裹。,裹在毛毯里。,「包まる」表示自身裹在其中，原译像是在包裹别的东西。,旧版人工校对
n3_0096,1,6,唯一,ゆいいつ,名,实质误译,中,唯一，独一无二,唯一，独一无二,この古代の皿は世界で唯一のものである。,この古代の皿は世界で唯一のものである。,这是全世界独一无二的古董盘子。,这只古代的盘子是世界上独一无二的。,「古代の皿」是古代的盘子，原译擅自强化为“古董盘子”。,旧版人工校对
n3_0097,1,6,有効,ゆうこう,名·形动,措辞优化,中,有效,有效,この法規は交通事故を無くすのに有効だろう。,この法規は交通事故を無くすのに有効だろう。,这部法规能有效地消除交通事故吧。,这项法规大概有助于杜绝交通事故。,补出「だろう」的不确定语气，并使中文搭配自然。,旧版人工校对
n3_0100,1,6,ラーメン,ラーメン,名,措辞优化,低,拉面,拉面,ラーメンは中国の麺料理を起源として、大正時代ごろから日本の中華料理屋で出されていた料理をもとに発展したものである。,ラーメンは中国の麺料理を起源として、大正時代ごろから日本の中華料理屋で出されていた料理をもとに発展したものである。,拉面起源于中国面食。日本大正时代中餐馆出售的面食逐渐发展成了现在的拉面。,拉面起源于中国面食，是在日本大正时期中华料理店所供应的面食基础上发展而来的。,消除重复，并准确对应「麺料理」和「出されていた料理」。,旧版人工校对
n3_0110,2,8,位,い,接尾,措辞优化,低,位；名次,位；名次,彼は今回の試合で第一位になりました。,彼は今回の試合で第一位になりました。,他在这次比赛中得了第一。,他在这次比赛中得了第一名。,补足比赛名次的自然中文表达。,旧版人工校对
n3_0114,2,8,ウーマン,ウーマン,名,措辞优化,低,妇女,妇女,1960年代半ば、福岡市で異色のセールスウーマンが誕生した。,1960年代半ば、福岡市で異色のセールスウーマンが誕生した。,20世纪60年代中期，福冈市出现了独特的女销售员。,20世纪60年代中期，福冈市诞生了一位与众不同的女推销员。,「異色」在此是与众不同；同时保留「誕生した」的表达。,旧版人工校对
n3_0121,2,8,大通り,おおどおり,名,实质误译,中,大道，大路,大道，大路,横町から大通りに出ます。,横町から大通りに出ます。,穿过小巷来到大街上。,从横街走到大路上。,「横町」是横街、侧街，不是“穿过小巷”。,旧版人工校对
n3_0125,2,9,改造,かいぞう,名·他サ,实质误译,高,改造；改建,改造；改建,屋根裏を改造して仕事部屋にする。,屋根裏を改造して仕事部屋にする。,将房顶改造为办公用的房间。,把阁楼改造成工作室。,「屋根裏」是阁楼，不是房顶；「仕事部屋」是工作室、书房。,全量例句复核
n3_0128,2,9,カロリー,カロリー,名,数据提取清理,高,卡路里，热量,卡路里，热量,成人男子は一日に最低2400カロリー必要です。习题： の高い料理を食べ過ぎないようにしている。1.カロリー 2.パーセント3.ビタミン 4.メーター解析：答案是1。「パーセント」意为“百分率”。「ビタミン」,成人男子は一日に最低2400カロリー必要です。,成年男子一天至少需要2400卡路里的热量。意为“维生素”。「メーター」意为“米”。,成年男子一天至少需要2400卡路里的热量。,移除误并入例句的习题、选项和解析文本。,全量结构异常扫描
n3_0442,5,28,空,から,名·接头,数据提取清理,高,空的,空的,財布も空になりました。习题：飲み終わったら、 になったビンをこちらに1.あき 2.なし3.すき 4.から解析：答案是4。选项1「あき」意为“空隙”。选项2「な,財布も空になりました。,钱包也空了。捨ててください。し」意为“没有”。选项3「すき」意为“间隙”。选项4「から」意为“空”。,钱包也空了。,移除误并入例句的习题、选项和解析文本。,全量结构异常扫描
n3_0594,6,37,記入,きにゅう,名·他サ,提取及实质误译,高,填入，填写,填入，填写,下の空いているところに名前を記入してください。习题：ご宿泊ですね。では、この欄に、お名前とご住所1.記憶 2.記入3.記念 4.記録解析：答案是2。选项1「記憶する」意为“记忆”。选项,下の空いているところに名前を記入してください。,请在下面空白处签名。と電話番号をご ください。2「記入する」意为“记入，填上，写上”。选项3「記念する」意为“纪念”。选项4「記録する」意为“记录”。,请在下面的空白处填写姓名。,移除误并入的习题文本；「名前を記入」是填写姓名，不是签名。,全量结构异常扫描
n3_0794,7,50,ミス,ミス,名,实质误译,高,小姐；姑娘；未婚女性,小姐；姑娘；未婚女性,ミス·ユニバース日本代表の衣装に批判が続出した。,ミス·ユニバース日本代表の衣装に批判が続出した。,“世界小姐”日本赛区代表的着装不断受到批评。,“环球小姐”日本代表的服装接连受到批评。,「ミス・ユニバース」是“环球小姐”，不是“世界小姐”；日本代表也不是“日本赛区代表”。,全量例句复核
n3_0992,9,62,引き出し,ひきだし,名,数据提取清理,高,抽屉,抽屉,引き出しに鍵を掛ける。习题：鍵は机の の中にあります。1.おしいれ 2.ひきだし3.カーテン 4.ベル解析：答案是2。｢おしいれ｣意为“壁橱”。｢カーテン｣,引き出しに鍵を掛ける。,锁上抽屉。意为“窗帘”。｢ベル｣意为“电铃”。根据题意应选择表示“抽屉”之意的「ひきだし」。,锁上抽屉。,移除误并入例句的习题、选项和解析文本。,全量结构异常扫描
n3_1020,10,65,育児,いくじ,名,数据提取清理,高,育儿,育儿,母は毎日育児に忙しいです。习题：田中さんは、子供が生まれて、 のため休暇1.幼稚 2.児童3.教養 4.育児解析：答案是4。日语「育児」与汉语“育儿”的意思相同。,母は毎日育児に忙しいです。,妈妈每天忙于照顾孩子。をとっている。其他选项都不符合题意。,妈妈每天忙于照顾孩子。,移除误并入例句的习题、选项和解析文本。,全量结构异常扫描
n3_1049,10,66,実用,じつよう,名·他サ,实质误译,中,实用,实用,植物の実用研究が進んでいます。,植物の実用研究が進んでいます。,推进植物的实用研究。,植物的实用研究正在取得进展。,「研究が進んでいます」是不及物的“研究正在推进、取得进展”，不是命令式“推进研究”。,全量例句复核
n3_1265,12,81,確かめる,たしかめる,他一,实质误译,中,确认，核实,确认，核实,実際に自分の目で確かめなければならない。,実際に自分の目で確かめなければならない。,必须亲眼见证。,必须亲眼确认。,「確かめる」是确认、核实，不是“见证”。,全量例句复核
n3_1495,14,95,リビングルーム,リビングルーム,名,实质误译,中,起居室,起居室,リビングルームは家族が一家団欒を楽しみ、寛ぐ部屋と考えられている。,リビングルームは家族が一家団欒を楽しみ、寛ぐ部屋と考えられている。,起居室是指一家人共享欢乐的空间。,起居室被认为是家人享受团聚之乐、放松休息的房间。,原译漏掉「寛ぐ」的放松、休息含义。,全量例句复核
n3_1584,15,101,面接,めんせつ,名·自サ,实质误译,高,接见；面试,接见；面试,一人一人に面接してアンケート調査をした。,一人一人に面接してアンケート調査をした。,见了每一个人并进行了问卷调查。,逐一面谈并进行了问卷调查。,「面接する」是面谈、面试，原译“见了每一个人”没有体现词义。,全量例句复核
n3_1638,16,105,児童,じどう,名,实质误译,高,儿童,儿童,児童は小学生以下の子どものことです。,児童は小学生以下の子どものことです。,儿童就是指未上小学的孩子。,儿童是指小学生及以下年龄的孩子。,「小学生以下」包含小学生，原译“未上小学”把范围缩小了。,全量例句复核
n3_1831,18,117,詳しい,くわしい,形,数据提取清理,高,详细；精通，熟悉,详细；精通，熟悉,歌舞伎のことなら山田さんが詳しいです。习题：この件について 話していただけませんか。1.するどく 2.すまなく3.けわしく 4.くわしく解析：答案是4。选项１「鋭い」意为“尖锐的，锋利,歌舞伎のことなら山田さんが詳しいです。,说到歌舞伎，山田很了解。的”。选项２「済まない」意为“对不起”。选项３「険しい」意为“险峻的，险恶的”。选项４「詳しい」意为“详细的，精通的”。,说到歌舞伎，山田很了解。,移除误并入例句的习题、选项和解析文本。,全量结构异常扫描
n3_1948,19,124,自動改札,じどうかいさつ,名,实质误译,中,自动检票,自动检票,駅には自動改札機があり、通過がスムーズだ。,駅には自動改札機があり、通過がスムーズだ。,地铁站有自动检票机，乘客可以顺畅地通过闸机。,车站设有自动检票机，通行很顺畅。,「駅」是泛指车站，原句没有限定为地铁站。,全量例句复核
n3_2270,22,144,注射,ちゅうしゃ,名·他サ,实质误译,中,注射,注射,病院でインフルエンザの予防接種として注射を受けた。,病院でインフルエンザの予防接種として注射を受けた。,为预防流感接种疫苗，她在医院接受了注射。,在医院接种了流感疫苗。,原句没有女性主语；整句表达接受流感预防接种。,全量例句复核
n3_2877,28,182,そう言えば,そういえば,词,提取及措辞优化,高,（连）那么说来,（连）那么说来,そう言えば、彼がこそこそと逃げるのを見た覚えがあります。习题：「山田さんは、まだ来ていないんですか。」1.そういえば 2.それとも3.なぜなら 4.だって解析：答案是1。选项1「そういえば」意为“这么来说”。,そう言えば、彼がこそこそと逃げるのを見た覚えがあります。,如此说来，我有印象看到他偷偷逃跑了。「、昨日も休みでしたね。」选项２「それとも」意为“或者”。选项３「なぜなら」意为“是因为”。选项４「だって」前接上文后陈述理由，意为“因为”。,这么说来，我记得看见过他偷偷溜走。,移除误并入的习题文本，并将原译改为自然中文。,全量结构异常扫描
